filename,totalscu,uniquescu,scusNotInPyr,totalWeight,maxScoreTotalscu,qualityScore,averagescu,maxScoreAveragescu,coverageScore,comprehensiveScore
16495_CRYPTO.pan,19,7,12,19,42,0.4524,11,33,0.5758,0.5067
33077_CRYPTO.pan,13,3,10,8,36,0.2222,11,33,0.2424,0.2319
33342_CRYPTO.pan,10,5,5,11,31,0.3548,11,33,0.3333,0.3437
37512_CRYPTO.pan,15,9,6,20,38,0.5263,11,33,0.6061,0.5634
37732_CRYPTO.pan,10,4,6,10,31,0.3226,11,33,0.303,0.3125
38664_CRYPTO.pan,16,10,6,24,39,0.6154,11,33,0.7273,0.6667
47470_CRYPTO.pan,12,8,4,20,35,0.5714,11,33,0.6061,0.5882
47839_CRYPTO.pan,16,9,7,19,39,0.4872,11,33,0.5758,0.5278
48518_CRYPTO.pan,15,5,10,18,38,0.4737,11,33,0.5455,0.5071
48746_CRYPTO.pan,13,8,5,20,36,0.5556,11,33,0.6061,0.5797
48773_CRYPTO.pan,16,6,10,18,39,0.4615,11,33,0.5455,0.5
48854_CRYPTO.pan,13,9,4,17,36,0.4722,11,33,0.5152,0.4927
48940_CRYPTO.pan,17,8,9,21,40,0.525,11,33,0.6364,0.5753
49457_CRYPTO.pan,17,11,6,25,40,0.625,11,33,0.7576,0.6849
49759_CRYPTO.pan,8,1,7,1,27,0.037,11,33,0.0303,0.0333
50333_CRYPTO.pan,16,9,7,24,39,0.6154,11,33,0.7273,0.6667
50496_CRYPTO.pan,10,1,9,1,31,0.0323,11,33,0.0303,0.0313
50521_CRYPTO.pan,15,6,9,18,38,0.4737,11,33,0.5455,0.5071
50879_CRYPTO.pan,20,10,10,20,43,0.4651,11,33,0.6061,0.5263
50901_CRYPTO.pan,19,4,15,6,42,0.1429,11,33,0.1818,0.16
50909_CRYPTO.pan,15,7,8,17,38,0.4474,11,33,0.5152,0.4789
50976_CRYPTO.pan,10,4,6,11,31,0.3548,11,33,0.3333,0.3437
51027_CRYPTO.pan,14,10,4,22,37,0.5946,11,33,0.6667,0.6286
51126_CRYPTO.pan,9,2,7,5,29,0.1724,11,33,0.1515,0.1613
51721_CRYPTO.pan,20,9,11,23,43,0.5349,11,33,0.697,0.6053
52225_CRYPTO.pan,15,8,7,16,38,0.4211,11,33,0.4848,0.4507
52466_CRYPTO.pan,11,5,6,7,33,0.2121,11,33,0.2121,0.2121
52997_CRYPTO.pan,19,11,8,25,42,0.5952,11,33,0.7576,0.6666
53249_CRYPTO.pan,17,11,6,20,40,0.5,11,33,0.6061,0.5479
53392_CRYPTO.pan,10,6,4,13,31,0.4194,11,33,0.3939,0.4063
53812_CRYPTO.pan,21,12,9,23,44,0.5227,11,33,0.697,0.5974
53824_CRYPTO.pan,15,6,9,19,38,0.5,11,33,0.5758,0.5352
53931_CRYPTO.pan,6,0,6,0,21,0,11,33,0.0,0.0
54721_CRYPTO.pan,15,12,3,29,38,0.7632,11,33,0.8788,0.8169
55072_CRYPTO.pan,14,11,3,26,37,0.7027,11,33,0.7879,0.7429
55169_CRYPTO.pan,18,10,8,25,41,0.6098,11,33,0.7576,0.6757
55342_CRYPTO.pan,7,3,4,6,24,0.25,11,33,0.1818,0.2105
